"Txhash","Blockno","UnixTimestamp","DateTime","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x4c2228b30e20974a13127c72146e321ff278f268091eddf92152eeae92165753","44839814","1688839783","2023-07-08 18:09:43","0xb8c1f8586625c34bc350546ac44603cd7916350d","0x8d58a40977e1f40ffaf383511046bc72047c8de9","0.09","$0.09","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x1d6650837b6105bd44120af7edc942289ba8ce9f22d20c9a13806c2464d73c8f","44839834","1688839825","2023-07-08 18:10:25","0xb8c1f8586625c34bc350546ac44603cd7916350d","0x8d58a40977e1f40ffaf383511046bc72047c8de9","0.12","$0.12","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xf8dd5d68c0ddc826d8d69c58a618dcfbfe98a0e9d2209a5922c38d872909b822","44839919","1688840005","2023-07-08 18:13:25","0x769dfdd1e0c596ce0900df0bec8d4a1226291f0f","0x8d58a40977e1f40ffaf383511046bc72047c8de9","3","$3.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x87482223e18237e223eed73f7df2ac35aad88e74d5df8ef08e4488113bc38f6e","44840049","1688840287","2023-07-08 18:18:07","0x290feb76efb1914de6925fd7730ea2e581cc7029","0x8d58a40977e1f40ffaf383511046bc72047c8de9","6","$6.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xf99b41a49aa6b94c92c021cf7c5736a84fadf442852ec3258d880c47d8c1d9c3","44840390","1688841011","2023-07-08 18:30:11","0x769dfdd1e0c596ce0900df0bec8d4a1226291f0f","0x8d58a40977e1f40ffaf383511046bc72047c8de9","3","$3.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x1b196124cb4ba0e6084f7e5712a8b785f43d4d37d9b7d4beec1b5fe2c9a48d98","44840458","1688841155","2023-07-08 18:32:35","0x290feb76efb1914de6925fd7730ea2e581cc7029","0x8d58a40977e1f40ffaf383511046bc72047c8de9","3","$3.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0xd578ff819f657e2ad2759ff12cac65f1e8cf414bec0662be1b21b38e9d666f2f","44841257","1688842889","2023-07-08 19:01:29","0x64fcb4087375b8d3b983629784f0d0753540766d","0x8d58a40977e1f40ffaf383511046bc72047c8de9","105","$105.08","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x08c5cc70ee0d1b2e09c2a50a428b7f54b5e69274a616e762190b676cc6f8e1dc","44841823","1688844123","2023-07-08 19:22:03","0xa4f9bdf1e398c8975b4d31504f0d2693bfd1013b","0x8d58a40977e1f40ffaf383511046bc72047c8de9","100.2","$100.28","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x7d3b4c6c7aba45d91aacc1d1fcf248295a9931299c154334ffc43480ff51b3a2","44843441","1688847636","2023-07-08 20:20:36","0xaa27b7a9c307943ea4ed30f83e6c83be2414f777","0x8d58a40977e1f40ffaf383511046bc72047c8de9","0","$0.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
"0x1ca8f7aa84abe9dc0c98184efe5281d17dec407f666540ad41dae9d05ec7489c","44844619","1688850222","2023-07-08 21:03:42","0xb899c29848a7ebce7c74934fb93691cd85d32c5c","0x8d58a40977e1f40ffaf383511046bc72047c8de9","0","$0.00","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","(PoS) Dai Stablecoin","DAI",""
